acacia_button,アカシアのボタン
acacia_door,アカシアのドア
acacia_fence,アカシアのフェンス
acacia_fence_gate,アカシアのフェンスゲート
acacia_leaves,アカシアの葉
acacia_log,アカシアの原木
acacia_planks,アカシアの板材
acacia_pressure_plate,アカシアの感圧板
acacia_sapling,アカシアの苗木
acacia_sign,アカシアの看板
acacia_slab,アカシアのハーフブロック
acacia_stairs,アカシアの階段
acacia_trapdoor,アカシアのトラップドア
acacia_wall_sign,壁に付けられたアカシアの看板
acacia_wood,アカシアの木
activator_rail,アクティベーターレール
air,空気
allium,アリウム
amethyst_block,アメジストブロック
amethyst_cluster,アメジストの塊
ancient_debris,古代の残骸
andesite,安山岩
andesite_slab,安山岩のハーフブロック
andesite_stairs,安山岩の階段
andesite_wall,安山岩の塀
anvil,金床
attached_melon_stem,実がなったスイカの茎
attached_pumpkin_stem,実がなったカボチャの茎
azalea,ツツジ
azalea_leaves,ツツジの葉
azure_bluet,ヒナソウ
bamboo,竹
bamboo_sapling,タケノコ
banner_base_black,黒色の下地
banner_base_blue,青色の下地
banner_base_brown,茶色の下地
banner_base_cyan,青緑色の下地
banner_base_gray,灰色の下地
banner_base_green,緑色の下地
banner_base_light_blue,空色の下地
banner_base_light_gray,薄灰色の下地
banner_base_lime,黄緑色の下地
banner_base_magenta,赤紫色の下地
banner_base_orange,橙色の下地
banner_base_pink,桃色の下地
banner_base_purple,紫色の下地
banner_base_red,赤色の下地
banner_base_white,白色の下地
banner_base_yellow,黄色の下地
banner_border_black,黒色の縁取り
banner_border_blue,青色の縁取り
banner_border_brown,茶色の縁取り
banner_border_cyan,青緑色の縁取り
banner_border_gray,灰色の縁取り
banner_border_green,緑色の縁取り
banner_border_light_blue,空色の縁取り
banner_border_light_gray,薄灰色の縁取り
banner_border_lime,黄緑色の縁取り
banner_border_magenta,赤紫色の縁取り
banner_border_orange,橙色の縁取り
banner_border_pink,桃色の縁取り
banner_border_purple,紫色の縁取り
banner_border_red,赤色の縁取り
banner_border_white,白色の縁取り
banner_border_yellow,黄色の縁取り
banner_bricks_black,黒色のレンガ模様
banner_bricks_blue,青色のレンガ模様
